,precision,recall,f1-score,support
aggressive_tone,0.48148148148148145,0.5909090909090909,0.5306122448979592,22.0
hookup_focus,0.0,0.0,0.0,5.0
negativity,0.15384615384615385,0.3076923076923077,0.20512820512820512,13.0
sarcasm_cynicism,0.5563380281690141,0.9753086419753086,0.7085201793721974,81.0
substance_risk,0.4810126582278481,0.9620253164556962,0.6413502109704642,79.0
incomplete_profile,0.75,0.42857142857142855,0.5454545454545454,28.0
controlling_behavior,0.6,0.5,0.5454545454545454,6.0
emotional_manipulation,0.7142857142857143,1.0,0.8333333333333334,5.0
entitlement_superiority,0.5,0.5714285714285714,0.5333333333333333,7.0
poor_conflict_resolution,0.5333333333333333,0.8,0.64,10.0
main_character_syndrome,0.2,1.0,0.3333333333333333,1.0
dismissive,0.3382352941176471,0.7666666666666667,0.46938775510204084,30.0
