,precision,recall,f1-score,support
aggressive_tone,0.0,0.0,0.0,12.0
hookup_focus,0.0,0.0,0.0,1.0
negativity,0.0,0.0,0.0,9.0
sarcasm_cynicism,0.4375,0.23728813559322035,0.3076923076923077,59.0
substance_risk,0.9555555555555556,0.6935483870967742,0.8037383177570093,62.0
incomplete_profile,0.0,0.0,0.0,7.0
controlling_behavior,0.0,0.0,0.0,1.0
emotional_manipulation,0.0,0.0,0.0,0.0
entitlement_superiority,0.0,0.0,0.0,1.0
poor_conflict_resolution,0.0,0.0,0.0,1.0
main_character_syndrome,0.0,0.0,0.0,1.0
dismissive,0.0,0.0,0.0,14.0
